"Id","StartDate","EnterpriseNumber"
"9.000.115.009",01-01-1968,"0404.464.957"
"9.000.115.108",01-01-1968,"0404.465.155"
"9.000.115.207",01-01-1948,"0404.466.046"
"9.000.115.306",01-01-1947,"0404.466.442"
"9.000.115.405",01-01-1968,"0404.466.541"
"9.000.115.504",01-01-1951,"0404.466.640"
"9.000.115.702",01-01-1957,"0404.466.937"
"9.000.115.801",01-01-1968,"0404.467.036"
"9.000.116.096",01-01-1946,"0404.467.828"
"9.000.116.195",01-01-1968,"0404.467.927"
"9.000.116.294",01-01-1968,"0404.468.026"
"9.000.116.393",01-01-1968,"0404.468.224"
"9.000.116.492",01-01-1968,"0404.468.323"
"9.000.116.591",18-06-1946,"0404.468.620"
"9.000.116.987",01-01-1968,"0404.470.994"
"9.000.117.086",01-01-1968,"0404.471.390"
"9.000.117.185",01-01-1968,"0404.471.489"
"9.000.117.284",05-01-1942,"0404.471.588"
"9.000.117.581",01-01-1968,"0404.471.984"
"9.000.117.779",01-01-1968,"0404.472.281"
"9.000.117.878",01-01-1968,"0404.473.073"
"9.000.117.977",01-01-1968,"0404.473.172"
"9.000.118.076",25-03-1969,"0404.473.271"
"9.000.118.373",01-01-1911,"0404.473.667"
"9.000.118.472",01-01-1968,"0404.474.063"
"9.000.118.571",01-01-1968,"0404.474.162"
"9.000.118.670",01-01-1968,"0404.474.558"
"9.000.118.769",01-01-1968,"0404.474.657"
"9.000.118.967",16-07-1890,"0404.475.449"
"9.000.119.165",01-01-1968,"0404.475.845"
"9.000.119.264",20-12-1948,"0404.475.944"
"9.000.119.363",01-01-1968,"0404.476.043"
"9.000.119.660",01-01-1968,"0404.478.122"
"9.000.119.759",08-08-1948,"0404.478.617"
"9.000.119.957",01-01-1968,"0404.480.991"
"9.000.120.056",01-01-1941,"0404.481.090"
"9.000.120.155",01-01-1968,"0404.481.189"
"9.000.120.452",01-01-1968,"0404.481.783"
"9.000.120.650",12-07-1911,"0404.482.377"
"9.000.120.749",12-04-1963,"0404.482.575"
"9.000.121.145",01-01-1968,"0404.483.070"
"9.000.121.244",01-01-1968,"0404.483.169"
"9.000.121.343",25-03-1969,"0404.483.268"
"9.000.121.640",01-01-1968,"0404.483.664"
"9.000.121.838",01-01-1952,"0404.483.862"
"9.000.121.937",01-01-1968,"0404.483.961"
"9.000.122.036",01-01-1968,"0404.484.258"
"9.000.122.135",01-01-1968,"0404.484.456"
"9.000.122.234",01-01-1968,"0404.484.951"
"9.000.122.333",01-01-1968,"0404.485.050"
"9.000.122.432",01-04-1966,"0404.486.040"
"9.000.122.531",01-01-1968,"0404.486.139"
"9.000.122.729",01-01-1968,"0404.486.535"
"9.000.122.828",01-01-1968,"0404.486.733"
"9.000.123.026",01-01-1968,"0404.487.426"
"9.000.123.125",01-01-1968,"0404.487.525"
"9.000.123.224",07-08-1964,"0404.487.624"
"9.000.123.323",01-01-1968,"0404.487.921"
"9.000.123.521",01-01-1968,"0404.488.218"
"9.000.123.620",01-01-1968,"0404.488.317"
"9.000.123.719",20-07-1950,"0404.488.416"
"9.000.124.016",20-08-1968,"0404.488.713"
"9.000.124.115",01-01-1968,"0404.488.812"
"9.000.124.610",01-01-1968,"0404.489.307"
"9.000.124.709",01-01-1968,"0404.490.097"
"9.000.124.808",01-01-1968,"0404.490.295"
"9.000.124.907",01-01-1968,"0404.490.493"
"9.000.125.006",01-01-1968,"0404.490.691"
"9.000.125.105",01-01-1968,"0404.490.790"
"9.000.125.204",01-01-1968,"0404.491.186"
"9.000.125.501",01-01-1968,"0404.492.077"
"9.000.125.895",01-01-1968,"0404.492.671"
"9.000.126.093",01-01-1968,"0404.492.869"
"9.000.126.192",25-05-1955,"0404.492.968"
"9.000.126.291",01-01-1968,"0404.493.067"
"9.000.126.390",01-01-1968,"0404.493.265"
"9.000.126.489",01-01-1968,"0404.493.364"
"9.000.126.588",01-01-1968,"0404.493.463"
"9.000.126.687",24-02-1965,"0404.493.661"
"9.000.126.786",01-01-1968,"0404.494.255"
"9.000.126.885",14-01-1960,"0404.494.552"
"9.000.126.984",01-01-1968,"0404.494.651"
"9.000.127.182",01-01-1968,"0404.495.245"
"9.000.127.281",01-01-1968,"0404.495.344"
"9.000.127.380",01-01-1968,"0404.496.037"
"9.000.127.479",01-01-1968,"0404.496.136"
