Category,Code,Language,Description
Nace2003,1200001,FR,l'extraction des minerais d'uranium et de thorium
Nace2003,1200002,FR,la concentration de ces minerais
Nace2003,1200003,FR,"la fabrication de concentré d'uranium (""yellow cake"")."
Nace2003,13,FR,Extraction de minerais métalliques
Nace2003,130,FR,Extraction de minerais métalliques
Nace2003,1300,FR,Extraction de minerais métalliques
Nace2003,13000,FR,Extraction de minerais métalliques
Nace2003,1300001,FR,EXTRACT. MINERAIS MÉTALL. & MéTAUX NATIFS
Nace2003,1300002,FR,"PRéPARAT. MINERAIS : CONCASS.,BROYAGE"
Nace2003,131,FR,Extraction de minerais de fer
Nace2003,1310,FR,Extraction de minerais de fer
Nace2003,13100,FR,Extraction de minerais de fer
Nace2003,1310001,FR,l'extraction de minerais dont la valeur tient surtout à leur teneur en fer
Nace2003,1310002,FR,l'enrichissement et l'agglomération des minerais de fer.
Nace2003,132,FR,"Extraction de minerais de métaux non ferreux, à l'exclusion des minerais d'uranium et de thorium"
Nace2003,1320,FR,"Extraction de minerais de métaux non ferreux, à l'exclusion des minerais d'uranium et de thorium"
Nace2003,13200,FR,"Extraction de minerais de métaux non ferreux, à l'exclusion des minerais d'uranium et de thorium"
Nace2003,1320001,FR,"l'extraction et la préparation de minerais dont la valeur tient surtout à leur teneur en métaux non ferreux: aluminium (bauxite),cuivre,plomb,zinc,étain,manganèse,chrome,nickel, cobalt,molybdène,tanal"
Nace2003,14,FR,Autres industries extractives
Nace2003,141,FR,Extraction de pierres
Nace2003,1411,FR,Extraction de pierres ornementales et de construction
Nace2003,14110,FR,Extraction de pierres ornementales et de construction
Nace2003,1411001,FR,"l'extraction, la taille grossière et le sciage de pierres de taille pour les entreprises de travail de la pierre ou pour la construction, telles que le marbre, le granit, le grès, etc."
Nace2003,1412,FR,"Extraction de pierres à ciment, de pierres calcaires, de gypse et de craie"
Nace2003,14121,FR,Extraction de pierres à ciment
Nace2003,1412101,FR,"l'extraction, le broyage et le concassage des pierres à ciment."
Nace2003,14122,FR,"Extraction de pierres calcaires, de gypse et de craie"
Nace2003,1412201,FR,"l'extraction, le broyage et le concassage des pierres calcaires, y compris celles destinées à l'agriculture"
Nace2003,1412202,FR,l'extraction du gypse et de l'anhydrite
Nace2003,1412203,FR,l'extraction du plâtre
Nace2003,1412204,FR,l'extraction de la craie
Nace2003,1412205,FR,l'extraction de dolomie.
Nace2003,1413,FR,Extraction d'ardoise
Nace2003,14130,FR,Extraction d'ardoise
Nace2003,1413001,FR,extraction d'ardoise
Nace2003,142,FR,Extraction de sables et d'argiles
Nace2003,1421,FR,Extraction de sable et de gravier
Nace2003,14211,FR,Extraction de sable
Nace2003,1421101,FR,"l'extraction de sables industriels et de sables pour la construction, dans des carrières ou par dragage."
Nace2003,14212,FR,Extraction de gravier
Nace2003,1421201,FR,l'extraction de graviers dans des carrières ou par dragage
Nace2003,1421202,FR,le concassage et le broyage de pierres et de graviers.
Nace2003,1422,FR,Extraction d'argiles et de kaolin
Nace2003,14220,FR,Extraction d'argiles et de kaolin
Nace2003,1422001,FR,"l'extraction d'argiles, d'argiles réfractaires et de kaolin."
Nace2003,143,FR,Extraction de minéraux pour l'industrie chimique et d'engrais naturels
Nace2003,1430,FR,Extraction de minéraux pour l'industrie chimique et d'engrais naturels
Nace2003,14300,FR,Extraction de minéraux pour l'industrie chimique et d'engrais naturels
Nace2003,1430001,FR,l'extraction de phosphates naturels et de sels potassiques naturels
Nace2003,1430002,FR,l'extraction de soufre natif et de minerais de soufre
Nace2003,1430003,FR,l'extraction et la préparation des pyrites et des pyrrhotites
Nace2003,1430004,FR,"l'extraction de sulfates et de carbonates naturels de baryum (barytine et withérite), de borates naturels,de sulfates naturels de magnésium (kiesérite)"
